model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width,converged
GJR-GARCH,WTI,1850,28,0.015135135135135135,0.03907385822956,Green,0.00137625878072985,0.0916701910720075,1
GJR-GARCH,NATGAS,1850,27,0.014594594594594595,0.06305764753772947,Green,0.0014098553197496987,0.10425915490577967,1
GJR-GARCH,BTC,1185,2,0.0016877637130801688,0.00037241524664766157,Green,0.001077995256616563,0.10291206744472196,1
GJR-GARCH,ETH,841,0,0.0,3.930486972447689e-05,Green,0.0015084508789281075,0.15075875256290824,1
GJR-GARCH,EURUSD,1660,2,0.0012048192771084338,4.92997255041594e-06,Green,0.0001895467373994064,0.018324620905155485,1
GJR-GARCH,GBPUSD,1664,11,0.006610576923076923,0.13862323026716838,Green,0.00020137580365496628,0.015777624535570835,1
GJR-GARCH,USDJPY,1966,12,0.006103763987792472,0.061302166389549884,Green,0.0002197136880900354,0.01836673953730726,1
GJR-GARCH,AUDUSD,1473,8,0.005431093007467753,0.05363905535374636,Green,0.00021956294814205008,0.017844942621091424,1
GARCH-N,SP500,1902,2,0.0010515247108307045,5.211262835702613e-07,Green,0.000634342813988769,0.06276181836082935,1
GARCH-N,STOXX,1577,0,0.0,1.800371796090161e-08,Green,0.0005120017106295189,0.050949453792501376,1
GARCH-N,GDAXI,1922,27,0.01404786680541103,0.09276823427206593,Green,0.0004483532948700288,0.03209923693545799,1
GARCH-N,FCHI,1935,27,0.013953488372093023,0.09907377190052935,Green,0.0004410761141433584,0.030804157502920343,1
GARCH-N,FTSE100,1911,27,0.0141287284144427,0.08766663762769922,Green,0.0003809698335090182,0.0261920012320899,1
GARCH-N,ICLN,1263,11,0.00870942201108472,0.6373904008233857,Green,0.0005439462183230646,0.04547209775022349,1
GARCH-N,NIKKEI,1851,20,0.010804970286331712,0.731150662005321,Green,0.00048464073424433194,0.03533465311635516,1
GARCH-N,HSI,1862,21,0.011278195488721804,0.586975071178917,Green,0.00052344500414157,0.036209650613262034,1
GARCH-N,BOVESPA,1873,9,0.004805125467164976,0.011946898072929923,Green,0.0004868496115664452,0.0402058080504301,1
GARCH-N,NIFTY,1287,2,0.001554001554001554,0.00014894756117322938,Green,0.00047540473088564526,0.046821715911942334,1
GARCH-N,ASX200,1912,33,0.017259414225941423,0.0038293293670698114,Yellow,0.000375879418064464,0.0271550032805332,1
GARCH-N,CBU0,1055,40,0.037914691943127965,3.205657961302677e-12,Red,0.00019527522112881997,0.008859645404755707,1
GARCH-N,TLT,1709,26,0.015213575190169689,0.04426662131286041,Green,0.0003530163066885977,0.023348016021440078,1
GARCH-N,IBGL,1305,9,0.006896551724137931,0.23265780356178123,Green,0.0002331744807570941,0.021969742855970337,1
GARCH-N,DJCI,772,10,0.012953367875647668,0.4302223849444151,Green,0.0004122496117311502,0.02474321986354647,1
GARCH-N,GOLD,1848,15,0.008116883116883116,0.40029188688295214,Green,0.00045647397056169166,0.032010198981869895,1
GARCH-N,WTI,1850,28,0.015135135135135135,0.03907385822956,Green,0.001371879186353186,0.09174727419861631,1
GARCH-N,NATGAS,1850,27,0.014594594594594595,0.06305764753772947,Green,0.001412878848722274,0.10440354498814791,1
GARCH-N,BTC,1185,1,0.0008438818565400844,4.033874151820882e-05,Green,0.0010945752517313397,0.10535291502257817,1
GARCH-N,ETH,841,0,0.0,3.930486972447689e-05,Green,0.0014930187414417808,0.14921553881427557,1
GARCH-N,EURUSD,1660,7,0.004216867469879518,0.007425377665408961,Green,0.00016058207647608871,0.014542346038595453,1
GARCH-N,GBPUSD,1664,11,0.006610576923076923,0.13862323026716838,Green,0.0001988889736826487,0.01529563382260355,1
GARCH-N,USDJPY,1966,16,0.008138351983723296,0.3912796573125834,Green,0.00021583580485873236,0.017245798034843995,1
GARCH-N,AUDUSD,1473,1,0.0006788866259334691,2.4451274409642565e-06,Green,0.00026521913273049817,0.02446676533833916,1
Hist-Sim,SP500,1902,22,0.011566771819137749,0.5028197031201949,Green,0.0004757252482428124,0.03619012182164056,1
Hist-Sim,STOXX,1577,24,0.015218769816106531,0.05309922742688933,Green,0.0004209361657394821,0.028008182168471778,1
