model,symbol,pi_hat,kupiec_p,kupiec_rej,qs,width,traffic_light,gamma
GARCH-N,GDAXI,0.012486992715920915,0.2914449508019863,False,4.530373308902189,0.03490935539217498,Green,0.001
GARCH-N,CACT,0.012919896640826873,0.21673624541966596,False,4.458407185092665,0.03548988473465799,Green,0.001
GARCH-N,FTSE100,0.012035583464154892,0.3861607757173292,False,3.676485325113381,0.026821893922124865,Green,0.001
GARCH-N,ICLN,0.012668250197941409,0.3601035321246744,False,5.929937332980927,0.04500598163102694,Green,0.001
GARCH-N,NIKKEI,0.011885467314964884,0.42852071983628093,False,4.912481319231229,0.03717257867889141,Green,0.001
GARCH-N,HSI,0.012352309344790547,0.32510930021738926,False,5.382952333591608,0.03783785029702257,Green,0.001
GARCH-N,BOVESPA,0.012813667912439935,0.2408686232771038,False,4.706004283452466,0.035428667983617324,Green,0.001
GARCH-N,NIFTY,0.01320901320901321,0.2701296444226774,False,3.176967321433663,0.024828411537310746,Green,0.001
GARCH-N,ASX200,0.012552301255230125,0.28065814832609326,False,3.5195967311684107,0.027909349628716197,Green,0.001
GARCH-N,CBU0,0.011374407582938388,0.6606352030663153,False,1.3927485743812025,0.011632648092164345,Green,0.001
GARCH-N,TLT,0.010532475131655939,0.8263907330458332,False,2.929408601323669,0.024947500650699055,Green,0.005
GARCH-N,IBGL,0.012260536398467433,0.4279575501884225,False,2.3449982229022606,0.020490381607241568,Green,0.005
GARCH-N,DJCI,0.014248704663212436,0.2647252271737587,False,3.2950895746293383,0.025057069839196127,Green,0.001
GARCH-N,GOLD,0.01406926406926407,0.09761152435111586,False,4.175256159215462,0.031187658172377553,Green,0.001
GARCH-N,WTI,0.011891891891891892,0.4271175368964937,False,11.722748225943578,0.08484389863830971,Green,0.001
GARCH-N,NATGAS,0.012972972972972972,0.21912050307411413,False,14.430667502994112,0.11475099228440765,Green,0.001
GARCH-N,BTC,0.015189873417721518,0.09533639810531203,False,8.885817924338882,0.06750752626638189,Green,0.001
GARCH-N,ETH,0.014268727705112961,0.24230283873447422,False,13.247894567084591,0.10025558675631113,Green,0.001
GARCH-N,EURUSD,0.010240963855421687,0.9217080836974203,False,1.5144085760020933,0.01154884075394053,Green,0.001
GARCH-N,GBPUSD,0.01201923076923077,0.42234843166393143,False,1.9177093126413862,0.014510480728258963,Green,0.001
