n_test,viol,pi_hat,kupiec_p,TL,QS,width,model,symbol,w
1473,11,0.00746775288526816,0.3064922139909273,Green,0.00022641249360166245,0.017962247925816507,GARCH-N,AUDUSD,250
1902,36,0.01892744479495268,0.0004957486068168926,Yellow,0.0006160456295642822,0.046044846247048715,Hist-Sim,SP500,250
1577,20,0.012682308180088777,0.3040408952482575,Green,0.0005787628997936998,0.04206868086430969,Hist-Sim,STOXX,250
1922,24,0.012486992715920915,0.2914449508019863,Green,0.0005759958713211829,0.043268846176611434,Hist-Sim,GDAXI,250
1935,28,0.014470284237726097,0.06395257472118066,Green,0.0006036305741273139,0.044992942716703524,Hist-Sim,CACT,250
1911,21,0.01098901098901099,0.6688610472796719,Green,0.0005369417188329803,0.03903803002576772,Hist-Sim,FTSE100,250
1263,15,0.011876484560570071,0.5150702991683449,Green,0.0006323819874352015,0.04689799549726822,Hist-Sim,ICLN,250
1851,26,0.014046461372231226,0.09912922911126065,Green,0.0005923116528485228,0.04487893771897399,Hist-Sim,NIKKEI,250
1862,18,0.00966702470461869,0.8845449070827927,Green,0.0006026393960001449,0.04522810673223016,Hist-Sim,HSI,250
1873,34,0.018152696209289908,0.0014587474844232062,Yellow,0.0007262395905843261,0.05409233833140647,Hist-Sim,BOVESPA,250
1287,22,0.017094017094017096,0.020184224227544845,Yellow,0.0003889733609666721,0.027342096173858323,Hist-Sim,NIFTY,250
1912,28,0.014644351464435146,0.05627086148249971,Green,0.0005073666657707559,0.03816983437626695,Hist-Sim,ASX200,250
1055,8,0.007582938388625593,0.40983765464045396,Green,0.00015528908092620155,0.013690424131066562,Hist-Sim,CBU0,250
1709,17,0.00994733762434172,0.9825282168787342,Green,0.0004083746112856823,0.032947582182141236,Hist-Sim,TLT,250
1305,19,0.014559386973180077,0.1211665531208107,Green,0.0002433949421393112,0.02109384038829354,Hist-Sim,IBGL,250
772,10,0.012953367875647668,0.4302223849444151,Green,0.0004340151495400981,0.034528509075050694,Hist-Sim,DJCI,250
1848,19,0.010281385281385282,0.9036795655322565,Green,0.00045258691618428896,0.03416957936989452,Hist-Sim,GOLD,250
1850,25,0.013513513513513514,0.14940154879290224,Green,0.0016133894377839172,0.11753137227885946,Hist-Sim,WTI,250
1850,16,0.008648648648648649,0.549849620190038,Green,0.001823345849113616,0.13430945670585473,Hist-Sim,NATGAS,250
1185,11,0.009282700421940928,0.8016638096754556,Green,0.0009522359641327686,0.0752548376860962,Hist-Sim,BTC,250
841,12,0.014268727705112961,0.24230283873447422,Green,0.0013337327451442944,0.10510227211225948,Hist-Sim,ETH,250
1660,16,0.00963855421686747,0.8816307355212522,Green,0.00017116504591430562,0.013470610487578891,Hist-Sim,EURUSD,250
1664,20,0.01201923076923077,0.42234843166393143,Green,0.0002111353233349349,0.01575023305042979,Hist-Sim,GBPUSD,250
1966,26,0.013224821973550356,0.17087883688746497,Green,0.00024092960242652598,0.01897440062230962,Hist-Sim,USDJPY,250
1473,16,0.010862186014935505,0.7429092487528821,Green,0.00025167092973914153,0.01969859823383995,Hist-Sim,AUDUSD,250
1902,18,0.00946372239747634,0.8125117476368015,Green,0.000436780819686266,0.037223030403878435,EWMA,SP500,250
1577,14,0.008877615726062143,0.6479079090015643,Green,0.00047476728240998045,0.03584198829932907,EWMA,STOXX,250
1922,18,0.009365244536940686,0.7774128860253001,Green,0.0004776566725276408,0.038403628123943157,EWMA,GDAXI,250
1935,20,0.0103359173126615,0.8825810015022406,Green,0.0004874872684236987,0.03871091942983475,EWMA,CACT,250
1911,18,0.009419152276295133,0.7966357155871796,Green,0.00044171129169785333,0.033985304627189954,EWMA,FTSE100,250
1263,7,0.0055423594615993665,0.08209122332389718,Green,0.0005882484928644631,0.050835298869081696,EWMA,ICLN,250
1851,15,0.008103727714748784,0.3965078913798996,Green,0.0005117514985995644,0.04194628000875425,EWMA,NIKKEI,250
1862,14,0.007518796992481203,0.26041322120845845,Green,0.0005498797727351895,0.04188932589630812,EWMA,HSI,250
1873,16,0.008542445274959957,0.5155392560368879,Green,0.0005110486656645912,0.04251281969311668,EWMA,BOVESPA,250
1287,9,0.006993006993006993,0.2517433962001323,Green,0.0003246246443372067,0.02730726291818491,EWMA,NIFTY,250
1912,19,0.00993723849372385,0.9779730060203511,Green,0.0003709640778987237,0.03088930374236899,EWMA,ASX200,250
1055,7,0.006635071090047393,0.24197817288807644,Green,0.00014518650384911377,0.013652497126730216,EWMA,CBU0,250
1709,10,0.005851375073142188,0.06168461825056959,Green,0.00030326570236559363,0.02739707387786394,EWMA,TLT,250
1305,8,0.006130268199233717,0.13019579648893043,Green,0.00023470206420280506,0.022143219865833418,EWMA,IBGL,250
772,9,0.011658031088082901,0.6518874883212915,Green,0.00030945581769391674,0.026317428958210133,EWMA,DJCI,250
1848,17,0.0091991341991342,0.7257793171752478,Green,0.00042783535868868623,0.03303151229033033,EWMA,GOLD,250
1850,17,0.009189189189189189,0.7223238704520697,Green,0.0012014265592089378,0.09487823951115255,EWMA,WTI,250
1850,16,0.008648648648648649,0.549849620190038,Green,0.001478876581944347,0.12257576435982376,EWMA,NATGAS,250
1185,12,0.010126582278481013,0.9651411414098513,Green,0.0009262098887481222,0.07811842476160617,EWMA,BTC,250
841,10,0.011890606420927468,0.5925944505854663,Green,0.0013192036576855693,0.11267212014713772,EWMA,ETH,250
1660,14,0.008433734939759036,0.5098178170956948,Green,0.00015478832718150874,0.012917484716573805,EWMA,EURUSD,250
1664,13,0.0078125,0.35104530203135376,Green,0.00019359585235335843,0.015797647629918237,EWMA,GBPUSD,250
1966,15,0.0076297049847405905,0.27033017447521746,Green,0.00021359811208904964,0.01706061504722058,EWMA,USDJPY,250
1473,11,0.00746775288526816,0.3064922139909273,Green,0.00022523137618282502,0.018133233617609712,EWMA,AUDUSD,250
