alpha,model,symbol,n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width
0.1,Chronos-Small,ETH,1776,762,0.0403088285069351,0.4120734908136483,0.0905511811023622,314,69,0.0,0.3777096235298084,0.9912346589976506,0.93627154557358,Red,Red,0.0115593948593632,0.0067684755412571,0.0454115190462629,0.005102690539327798
0.01,Chronos-Small,EURUSD,3689,1582,0.0154140081092864,0.3836915297092288,0.0025284450063211,607,4,0.0,0.000360002537574,0.1019807037378617,0.9899054381623158,Red,Green,0.0012752296489988,0.0001752033501499,0.0165108826993445,0.0010968745900581008
0.025,Chronos-Small,EURUSD,3689,1582,0.0116457981789897,0.3919089759797724,0.0101137800252844,620,16,0.0,1.7003982854535415e-05,0.1291942949219566,0.8490976135956892,Red,Green,0.001318363866351,0.0003465967336576,0.0126766961058089,0.0010308979268191989
0.05,Chronos-Small,EURUSD,3689,1582,0.0087110747558155,0.4001264222503161,0.0233881163084702,633,37,0.0,6.720602496734784e-08,0.3703137799885381,0.9896649216567264,Red,Yellow,0.0013693933714947,0.0005587643045261,0.0096728763391139,0.0009618015832984009
0.1,Chronos-Small,EURUSD,3689,1582,0.0058034721851829,0.4171934260429835,0.0733249051833122,660,116,0.0,0.0002195410316219,0.375578221463687,0.981981089673202,Red,Red,0.0014561203596307,0.0008656088365816,0.0066523930636377,0.0008489208784547998
0.01,Chronos-Small,GBPUSD,3698,1585,0.0152031770628759,0.3829652996845425,0.0056782334384858,607,9,0.0,0.0598025831316644,0.9681689082504514,0.9498712296462748,Red,Green,0.0014921498887347,0.0002030697151828,0.0164295992619932,0.0012264221991173004
0.025,Chronos-Small,GBPUSD,3698,1585,0.0104974761788677,0.3917981072555205,0.0208201892744479,621,33,0.0,0.2726263474144828,0.9869159421356052,0.1024100217297457,Red,Yellow,0.0015408131734475,0.0003815127781612,0.0116423788452299,0.0011449026663621995
0.05,Chronos-Small,GBPUSD,3698,1585,0.0081439518017082,0.4,0.0511041009463722,634,81,0.0,0.8407066487854274,0.9591111268456406,0.0864350627830131,Red,Red,0.0015975631435752,0.0006317055182292,0.0092059501455515,0.0010619983438433008
0.1,Chronos-Small,GBPUSD,3698,1585,0.005507782473892,0.4126182965299684,0.0940063091482649,654,149,0.0,0.4221734231440377,0.7670925712496157,0.3706427721631842,Red,Red,0.0016921086149678,0.0010110179703037,0.006431028860944,0.0009232463870519998
0.01,Chronos-Small,USDJPY,4403,1888,0.0165515206485364,0.3914194915254237,0.0079449152542372,739,15,0.0,0.35193722152098,0.8888656038713972,0.8867487509596611,Red,Green,0.001602310431131,0.00021942540987,0.0173592849054429,0.000807764256906502
