n_cal,n_test,qV,pihat_raw,pihat_cp,viol_raw,viol_cp,p_kup_raw,p_kup_cp,p_cc_raw,p_cc_cp,TL_raw,TL_cp,QS_raw,QS_cp,VaR_width,raw_width,model,symbol,alpha
4459,1912,-0.00490538462750153,0.005230125523012552,0.01778242677824268,10,34,0.02107144047245091,0.002054918419251317,,0.022945104026255714,Green,Yellow,0.00032555577465253114,0.00032763207466093776,0.0237019239930674,0.028607308620568934,GJR-GARCH,ASX200,0.01
4459,1912,-0.0030882231861491354,0.02092050209205021,0.036610878661087864,40,70,0.23994863083431872,0.002327888431328473,0.05855398320366667,0.38697024496057997,Yellow,Red,0.0006655512813195634,0.0006741804957800111,0.01876585043747669,0.021854073623625826,GJR-GARCH,ASX200,0.025
4459,1912,-0.002149752098857349,0.04236401673640167,0.05596234309623431,81,107,0.11605224419188231,0.24008660906994983,0.1870109093409581,0.22164819097739374,Red,Red,0.0011277590488599954,0.001124934791184696,0.0149813949684045,0.017131147067261848,GJR-GARCH,ASX200,0.05
4459,1912,-0.0015622960127343564,0.08106694560669456,0.10303347280334728,155,197,0.004453888106573323,0.6598055143292645,0.3093632541186181,0.3716900560175047,Red,Red,0.0017863323466549006,0.0017722385502730775,0.010985088475321293,0.01254738448805565,GJR-GARCH,ASX200,0.1
3436,1473,-0.002965768274704376,0.002036659877800407,0.0047522063815342835,3,7,0.00018218383971391194,0.02413036664313095,,,Green,Green,0.00023654445181208597,0.0002157536487389497,0.018121332300601173,0.02108710057530555,GJR-GARCH,AUDUSD,0.01
3436,1473,-0.0024262194589222616,0.00746775288526816,0.025118805159538356,11,37,4.356876186495384e-07,0.9767186497526533,,0.32029457669280104,Green,Yellow,0.00044685283519378736,0.0004208077006845927,0.013682917356212533,0.016109136815134796,GJR-GARCH,AUDUSD,0.025
3436,1473,-0.0014671356849729703,0.027834351663272233,0.04344874405974202,41,64,2.181063741313327e-05,0.2384154181170154,0.4529631283644322,0.8928645699855322,Yellow,Red,0.0007320494697355536,0.0007061851762215752,0.011160624093797752,0.012627759778770722,GJR-GARCH,AUDUSD,0.05
3436,1473,-0.0007352828810270537,0.06992532247114731,0.08418194161575017,103,124,5.212535524934392e-05,0.03802119513987412,0.3529717162950291,0.39196374900103115,Red,Red,0.0011665867335068532,0.0011504928979954527,0.008513680807448586,0.00924896368847564,GJR-GARCH,AUDUSD,0.1
4369,1873,-0.012060269601615013,0.0037373198077949813,0.02189001601708489,7,41,0.0017883387665803552,7.862244413847641e-06,,0.9138538619637915,Green,Yellow,0.00047943511843842834,0.0004901340940950936,0.03078223820726274,0.04284250780887776,GJR-GARCH,BOVESPA,0.01
4369,1873,-0.007021789586725356,0.012813667912439935,0.03363587827015483,24,63,0.0001977166772382244,0.02284708634671162,,0.37742826596933743,Green,Yellow,0.0009501241828484502,0.0009191452589449572,0.025707025706398094,0.03272881529312345,GJR-GARCH,BOVESPA,0.025
4369,1873,-0.004579443408256001,0.027229044313934865,0.055525894287239724,51,104,8.13816326328265e-07,0.2805908168831516,0.7212981878201253,0.05751731561709672,Yellow,Red,0.0015532288925093293,0.0015106696859880856,0.02107628365571842,0.025655727063974416,GJR-GARCH,BOVESPA,0.05
4369,1873,-0.0030329519776972867,0.06513614522156967,0.0993059263214095,122,186,9.384263166545281e-08,0.920161150208406,0.03404489512746223,0.07731041583442211,Red,Red,0.0024677180729719404,0.0024111939872458526,0.01575809981401177,0.018791051791709056,GJR-GARCH,BOVESPA,0.1
2765,1185,-0.0033342395003210026,0.002531645569620253,0.0033755274261603376,3,4,0.0020276871229276683,0.007864194212597209,,,Green,Green,0.0010476659856492405,0.00102374197643612,0.09642040827926486,0.09975464777958586,GJR-GARCH,BTC,0.01
2765,1185,-0.019104994137759304,0.009282700421940928,0.03375527426160337,11,40,7.218380650297895e-05,0.06662334241517953,,0.565929697225207,Green,Yellow,0.0020578643782616546,0.001928041337930032,0.057100895964969825,0.07620589010272913,GJR-GARCH,BTC,0.025
2765,1185,-0.0166877979302626,0.02278481012658228,0.05485232067510549,27,65,1.6411978127628402e-06,0.4501742385549855,,0.7668965092193767,Yellow,Red,0.0033651331827392835,0.003138930747266917,0.043049088346633325,0.05973688627689593,GJR-GARCH,BTC,0.05
2765,1185,-0.016690329011079946,0.046413502109704644,0.12742616033755275,55,151,1.0280998274936337e-11,0.002426237863524805,0.2604466713957473,0.45997936624673963,Red,Red,0.005226019966327597,0.004844207006231665,0.027062822911120617,0.04375315192220056,GJR-GARCH,BTC,0.1
4513,1935,-0.006705544605853778,0.00516795865633075,0.016020671834625324,10,31,0.01855034530779176,0.014376847488653421,,,Green,Yellow,0.00040600449868728804,0.000399688961311184,0.02977394510668058,0.03647948971253435,GJR-GARCH,FCHI,0.01
4513,1935,-0.004659049479720182,0.014470284237726097,0.029974160206718347,28,58,0.0012949907754226109,0.17395431253649007,,0.3690018801095919,Green,Yellow,0.0008083622441189338,0.0007917447411767681,0.023208844858190858,0.027867894337911044,GJR-GARCH,FCHI,0.025
4513,1935,-0.0030343489173737023,0.029974160206718347,0.050645994832041345,58,98,1.338076110102282e-05,0.8964722876302883,0.3690018801095919,0.18378431719401878,Yellow,Red,0.001333301683801834,0.0012990529457841827,0.01881096031785988,0.02184530923523358,GJR-GARCH,FCHI,0.05
4513,1935,-0.002234404035502782,0.06770025839793281,0.09819121447028424,131,190,5.686638060442561e-07,0.790288231627582,0.04177652970360901,0.0064615153389374624,Red,Red,0.002117285320088914,0.0020754085904044323,0.013765779324008798,0.016000183359511578,GJR-GARCH,FCHI,0.1
2460,1055,0.0001826293563039318,0.0009478672985781991,0.0009478672985781991,1,1,0.00014204685136276485,0.00014204685136276485,,,Green,Green,0.00016882586888595748,0.0001704790540543959,0.01706361503533604,0.016880985679032106,GJR-GARCH,CBU0,0.01
2460,1055,-5.359114795972772e-07,0.006635071090047393,0.006635071090047393,7,7,5.834976643415146e-06,5.834976643415146e-06,,,Green,Green,0.0003290031634469457,0.0003289933214707209,0.012895409972911817,0.012895945884391413,GJR-GARCH,CBU0,0.025
2460,1055,-5.448025402055201e-07,0.024644549763033177,0.024644549763033177,26,26,2.99752277687082e-05,2.99752277687082e-05,0.6702052637414659,0.6702052637414659,Yellow,Yellow,0.0005478489268189358,0.0005478351131052385,0.010108433016502489,0.010108977819042693,GJR-GARCH,CBU0,0.05
2460,1055,-5.31539240220464e-07,0.06066350710900474,0.06066350710900474,64,64,5.071695799663267e-06,5.071695799663267e-06,0.9511776025347547,0.9511776025347547,Red,Red,0.0008816787967607337,0.0008816578878711895,0.007403597967017562,0.007404129506257782,GJR-GARCH,CBU0,0.1
1800,772,-0.004869171136419898,0.0038860103626943004,0.02849740932642487,3,22,0.051317603064967465,2.4712734316034712e-05,,2.5790758417798543e-10,Green,Yellow,0.00029262791606873536,0.00033945134767097475,0.023742415979073526,0.028505621772388454,GJR-GARCH,DJCI,0.01
1800,772,-0.0035573033491751484,0.015544041450777202,0.04792746113989637,12,37,0.07073816753043771,0.00028300236421452407,,1.6523170197624282e-06,Green,Red,0.0006149317009407245,0.0006558572196967704,0.01829583103154396,0.02177639166143338,GJR-GARCH,DJCI,0.025
1800,772,-0.0026710956078411265,0.034974093264248704,0.07642487046632124,27,59,0.04334021649261066,0.0017090379183563043,0.9541074384760886,0.0008841510808578201,Yellow,Red,0.001041092233574456,0.0010646034189926152,0.014456272919296324,0.01707025310571897,GJR-GARCH,DJCI,0.05
1800,772,-0.002071718339008863,0.07772020725388601,0.12176165803108809,60,94,0.032427859519393865,0.05046765380764806,0.8694297883294461,0.06928878430476659,Red,Red,0.0016822032342000556,0.001689069585885371,0.010475886320741047,0.0125027838582508,GJR-GARCH,DJCI,0.1
1959,841,-0.01780004430813731,0.0047562425683709865,0.005945303210463734,4,5,0.08867299588208022,0.2011353074376463,,,Green,Green,0.0014197600235065677,0.0013303485424643426,0.11545940597991368,0.13325945028805097,GJR-GARCH,ETH,0.01
1959,841,-0.01790622915872416,0.007134363852556481,0.020214030915576695,6,17,9.28786871524645e-05,0.35803783436271164,,,Green,Yellow,0.002801497338446432,0.0025869065353036173,0.08389509288333008,0.10180132204205422,GJR-GARCH,ETH,0.025
1959,841,-0.01699086812588503,0.022592152199762187,0.04994054696789536,19,42,4.6869052650722054e-05,0.9936869053300416,,0.37780746541231724,Yellow,Red,0.004521368517609961,0.004248141315885081,0.06280997127728946,0.0798008394031745,GJR-GARCH,ETH,0.05
1959,841,-0.019660519680743914,0.0558858501783591,0.12841854934601665,47,108,3.93811321741655e-06,0.008198155932191309,0.783476192248223,0.813668645954115,Red,Red,0.007088957668589393,0.006854929320523457,0.03878809502846673,0.058448614709210645,GJR-GARCH,ETH,0.1
3873,1660,-0.0034920328096063368,0.0030120481927710845,0.012650602409638554,5,21,0.0007826054437169994,0.2971768335854277,,,Green,Green,0.000167653228122203,0.00015664072144351722,0.01173515032007797,0.015227183129684305,GJR-GARCH,EURUSD,0.01
3873,1660,-0.0026932861411421132,0.010240963855421687,0.03253012048192771,17,54,1.2903809309849912e-05,0.06018873367304456,,,Green,Yellow,0.00032590657803692626,0.00030800900714265554,0.0089392650229784,0.011632551164120512,GJR-GARCH,EURUSD,0.025
3873,1660,-0.0018065624616893953,0.02650602409638554,0.05783132530120482,44,96,1.5320394757267763e-06,0.15271528682050217,,0.8430028248069665,Yellow,Red,0.0005299272962875538,0.0005088468411536779,0.007312055338909649,0.009118617800599044,GJR-GARCH,EURUSD,0.05
3873,1660,-0.0012978174833242467,0.06144578313253012,0.1108433734939759,102,184,2.1520946469344437e-08,0.14704925045323014,0.7603099614958206,0.6945511408324119,Red,Red,0.0008376672746368209,0.0008241350065184143,0.005380941568508003,0.0066787590518322506,GJR-GARCH,EURUSD,0.1
4459,1911,-0.004592435780081488,0.006802721088435374,0.010465724751439037,13,20,0.13597839405769885,0.8390765965149758,,0.2044930757372213,Green,Green,0.00033892456181055944,0.0003271181894589207,0.02431537157395603,0.028907807354037522,GJR-GARCH,FTSE100,0.01
4459,1911,-0.0024789711770362086,0.0141287284144427,0.021454735740450027,27,41,0.0009285687203317572,0.3091483972910538,0.39651225156769765,0.011567888986156127,Green,Yellow,0.0006720511600762398,0.0006540386345481406,0.01960466341410779,0.022083634591144,GJR-GARCH,FTSE100,0.025
4459,1911,-0.0018088630190897393,0.032443746729461015,0.042909471480900054,62,82,0.0001747936572933373,0.14535871345302787,0.017115823674606734,0.002633287083510183,Yellow,Red,0.00109718866421793,0.0010742760516949629,0.015502234146409418,0.017311097165499154,GJR-GARCH,FTSE100,0.05
