model,symbol,n_test,viol,pi_hat,kupiec_p,TL,QS,width
Lag-Llama,FCHI,1856,40,0.021551724137931036,1.4510567159398136e-05,Yellow,0.0004943384182264919,0.025584269090700218
Lag-Llama,FTSE100,1833,28,0.015275504637206765,0.03517033526925584,Green,0.000400497349438261,0.02316006884335733
Lag-Llama,ICLN,1185,21,0.017721518987341773,0.01599227057791308,Yellow,0.0005613960278529226,0.03503739674781161
Lag-Llama,NIKKEI,1772,13,0.007336343115124154,0.23683598367485126,Green,0.000512238975652263,0.03733398609542043
Lag-Llama,HSI,1784,28,0.01569506726457399,0.02562425976527205,Green,0.0005321538445729295,0.03264655497669512
Lag-Llama,BOVESPA,1794,25,0.013935340022296544,0.11382824080797971,Green,0.000581905495251467,0.032170752627152785
Lag-Llama,NIFTY,1208,14,0.011589403973509934,0.5881415432867518,Green,0.00031361211978958765,0.021349656953364025
Lag-Llama,ASX200,1833,30,0.016366612111292964,0.012109886655179314,Yellow,0.00037895531521084223,0.02222725933986806
Lag-Llama,CBU0,976,42,0.0430327868852459,1.432187701766452e-14,Red,0.00020674734281554184,0.008203845249573842
Lag-Llama,TLT,1631,41,0.025137952176578784,2.51991983502009e-07,Yellow,0.0003509121865640152,0.01958710283921969
Lag-Llama,IBGL,1226,18,0.01468189233278956,0.12350795867919684,Green,0.0002534588221960558,0.019439848079751482
Lag-Llama,DJCI,693,31,0.044733044733044736,1.4515832980066534e-11,Red,0.00047520566480471505,0.017236549905437788
Lag-Llama,GOLD,1770,23,0.012994350282485875,0.22616681355267754,Green,0.0004269502043372851,0.026669054980968887
Lag-Llama,WTI,1772,31,0.017494356659142212,0.004150050367136893,Yellow,0.001270678379310803,0.05897525336801575
Lag-Llama,NATGAS,1771,66,0.037267080745341616,0.0,Red,0.001897834799569182,0.0732391031324
Lag-Llama,BTC,1107,1,0.0009033423667570009,8.590099648342342e-05,Green,0.0011320947330024757,0.10810734009929587
Lag-Llama,ETH,762,32,0.04199475065616798,3.502198531180056e-11,Red,0.0016988572982083315,0.0778653215627476
Lag-Llama,EURUSD,1582,32,0.020227560050568902,0.00032977242104859084,Yellow,0.00016962234269259058,0.010427531657045188
Lag-Llama,GBPUSD,1585,16,0.010094637223974764,0.9698408091489003,Green,0.00019858914166256194,0.013851535789088786
Lag-Llama,USDJPY,1888,22,0.011652542372881356,0.4819091674280551,Green,0.00020282413139143915,0.013985768098671605
Lag-Llama,AUDUSD,1395,14,0.01003584229390681,0.9892715799151623,Green,0.00021898000925614738,0.016046055758120525
GJR-GARCH,SP500,1902,39,0.02050473186119874,5.5151437254652436e-05,Yellow,0.00043147739552868846,0.023624723708808755
GJR-GARCH,STOXX,1577,33,0.02092580849714648,0.0001427779128577722,Yellow,0.00043706922167927774,0.022528884607935337
GJR-GARCH,GDAXI,1922,38,0.019771071800208116,0.0001454503176245847,Yellow,0.0004336131541752566,0.027020509794233278
GJR-GARCH,FCHI,1935,32,0.016537467700258397,0.008249464430382769,Yellow,0.0004378906230585022,0.02621352116060977
GJR-GARCH,FTSE100,1911,32,0.01674515960230246,0.006889443396465134,Yellow,0.00038960106619736123,0.02145479565041269
GJR-GARCH,ICLN,1263,16,0.012668250197941409,0.3601035321246744,Green,0.000522268589266888,0.03816609815978477
GJR-GARCH,NIKKEI,1851,11,0.005942733657482442,0.05772443774678404,Green,0.00048639510534763614,0.036634498290035226
GJR-GARCH,HSI,1862,25,0.01342642320085929,0.157914456758373,Green,0.0005175240206479989,0.03341598217767649
GJR-GARCH,BOVESPA,1873,23,0.012279765082754938,0.3383285383064639,Green,0.0005391319782164694,0.033548920629341075
GJR-GARCH,NIFTY,1287,13,0.010101010101010102,0.9709958896426412,Green,0.0003170443405476258,0.02212594564162977
GJR-GARCH,ASX200,1912,43,0.022489539748953975,2.402898368170092e-06,Yellow,0.0003646713957911914,0.02083700743974958
GJR-GARCH,CBU0,1055,53,0.05023696682464455,0.0,Red,0.00021737894387694636,0.007930942854588258
GJR-GARCH,TLT,1709,40,0.023405500292568753,2.07695636877947e-06,Yellow,0.0003308411547939791,0.01963712553648282
GJR-GARCH,IBGL,1305,24,0.01839080459770115,0.006386706017095234,Yellow,0.00025553200899304914,0.01850341248763161
GJR-GARCH,DJCI,772,15,0.019430051813471502,0.019718559782215372,Yellow,0.0003506903496166322,0.02194485422634383
GJR-GARCH,GOLD,1848,32,0.017316017316017316,0.004190987552886161,Yellow,0.0004354724679691426,0.025152597136000175
GJR-GARCH,WTI,1850,39,0.02108108108108108,3.025060756611797e-05,Yellow,0.001257696422311982,0.05657915208750348
GJR-GARCH,NATGAS,1850,62,0.03351351351351351,1.2212453270876722e-15,Yellow,0.0018043731739705124,0.07720083468507669
GJR-GARCH,BTC,1185,1,0.0008438818565400844,4.033874151820882e-05,Green,0.0011065486796781895,0.10530568052346323
GJR-GARCH,ETH,841,21,0.02497027348394768,0.00024558317783596184,Yellow,0.0014609140144371635,0.09171392955318591
GJR-GARCH,EURUSD,1660,23,0.013855421686746987,0.1357780366637481,Green,0.00015078575000347855,0.010759186679978137
